Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
176610,AAA Batteries (4-pack),1,2.99,04/26/19 00:40,"382 River St, Dallas, TX 75001"
176613,USB-C Charging Cable,2,11.95,04/26/19 18:58,"405 4th St, New York City, NY 10001"
176635,Vareebadd Phone,1,400.0,04/26/19 09:55,"85 North St, San Francisco, CA 94016"
176645,AAA Batteries (4-pack),3,2.99,04/26/19 18:38,"514 Lake St, Dallas, TX 75001"
176653,AA Batteries (4-pack),1,3.84,04/26/19 19:20,"285 Chestnut St, San Francisco, CA 94016"
176714,USB-C Charging Cable,1,11.95,04/26/19 23:34,"303 Spruce St, Los Angeles, CA 90001"
176721,AAA Batteries (4-pack),1,2.99,04/26/19 21:08,"469 7th St, San Francisco, CA 94016"
176724,Lightning Charging Cable,1,14.95,04/26/19 20:59,"34 12th St, San Francisco, CA 94016"
176749,ThinkPad Laptop,1,999.99,04/26/19 07:55,"322 Adams St, Seattle, WA 98101"
176761,Apple Airpods Headphones,1,150.0,04/26/19 20:00,"830 2nd St, San Francisco, CA 94016"
176817,Lightning Charging Cable,1,14.95,04/26/19 20:47,"284 Walnut St, Seattle, WA 98101"
176841,AAA Batteries (4-pack),3,2.99,04/26/19 22:50,"177 Highland St, San Francisco, CA 94016"
176923,LG Washing Machine,1,600.0,04/26/19 12:48,"259 6th St, Los Angeles, CA 90001"
176948,Wired Headphones,1,11.99,04/26/19 09:46,"761 Highland St, San Francisco, CA 94016"
177000,USB-C Charging Cable,1,11.95,04/26/19 16:08,"936 9th St, Los Angeles, CA 90001"
177015,Lightning Charging Cable,1,14.95,04/26/19 13:55,"61 7th St, New York City, NY 10001"
177035,Bose SoundSport Headphones,1,99.99,04/26/19 12:15,"236 North St, Los Angeles, CA 90001"
177039,AAA Batteries (4-pack),1,2.99,04/26/19 20:44,"167 2nd St, San Francisco, CA 94016"
177075,Bose SoundSport Headphones,1,99.99,04/26/19 05:30,"985 Sunset St, San Francisco, CA 94016"
177147,20in Monitor,1,109.99,04/26/19 14:06,"506 River St, San Francisco, CA 94016"
177160,AAA Batteries (4-pack),7,2.99,04/26/19 11:37,"689 7th St, Dallas, TX 75001"
177191,Bose SoundSport Headphones,1,99.99,04/26/19 23:18,"276 Cherry St, San Francisco, CA 94016"
177201,USB-C Charging Cable,1,11.95,04/26/19 16:13,"505 River St, Los Angeles, CA 90001"
177201,Lightning Charging Cable,1,14.95,04/26/19 16:13,"505 River St, Los Angeles, CA 90001"
177361,AA Batteries (4-pack),2,3.84,04/26/19 11:23,"440 5th St, Boston, MA 02215"
177425,AAA Batteries (4-pack),1,2.99,04/26/19 10:50,"234 6th St, San Francisco, CA 94016"
177461,27in 4K Gaming Monitor,1,389.99,04/26/19 23:36,"396 7th St, Boston, MA 02215"
